id,job industry,title,company,location,type,description
16,Health Care,Health Officer,Mothers and Children Multisectoral Development Organization (MCMDO),Not Specified,Office,External &amp;Internal VacancyHealth OfficerJob by Mothers and Children Multi- Sectoral Development Organization (MCMDO)Category: Health CareLocation: Tigray and Oromia Region different woredas.Employment Type:   ContractNumber of posts: 7Salary:   As per the scale of the organizationJob DescriptionMothers and Children Multi-sectoral Development Organization (MCMDO) is an Ethiopian resident charity organization registered in accordance with the charities and societies proclamation No 1113/2019 with a certificate...
29,Health Care,Midwife Nurse,Mothers and Children Multisectoral Development Organization (MCMDO),Addis Ababa,Office,"Job DescriptionMothers and Children Multisectoral Development Organization (MCMDO) is an Ethiopian resident charity organization registered in accordance with the charities and societies proclamation No 1113/2019 with a certificate No 0022. MCMDO currently is being implementing more than 24 projects Emergency and development projects in Oromiya , SNNPR, Somali, Gambella , Benishangul Gumuz , Tigray, Afar, Amhara, Harari, Dire Dawa and City Administration of Addis Ababa.To meet its objectives MCMDO calls for comp..."
30,Health Care,Field based project coordinator,Mothers and Children Multisectoral Development Organization (MCMDO),Not Specified,Office,External and internal Vacancy AnnouncementMothers and Children Multisectoral Development Organization (MCMDO) is a national Non-Governmental Organization registered in accordance with the proclamation for Civil Society Organizations Proclamation No 1113/2019 with a certificate No 0022. MCMDO is currently implementing 24 emergency response and development projects in all regions and City Administrations in Ethiopia. To meet its objectives MCMDO calls for competent professionals to apply for the Emergency Health a...
31,Health Care,Mental Health and Psycho social support (MHPSS),Mothers and Children Multisectoral Development Organization (MCMDO),Addis Ababa,Office,"Job by Mothers and Children Multisectoral Development Organization (MCMDO)Category:Health Care, Mental health and Social SciencesLocation: Tigray and Oromia region Different woredas .Career Level: Senior Level (5+ years’ experience)Employment Type: ContractSalary: As per the scale of the organizationNumber of posts:5Job DescriptionMothers and Children Multisectoral Development Organization (MCMDO) is an Ethiopian resident charity organization registered in accordance with the charities and societies proclamation..."
32,Health Care,MHNT Nurse,Mothers and Children Multisectoral Development Organization (MCMDO),Addis Ababa,Office,"Job DescriptionMothers and Children Multisectoral Development Organization (MCMDO) is an Ethiopian resident charity organization registered in accordance with the charities and societies proclamation No 1113/2019 with a certificate No 0022. MCMDO currently is being implementing more than 24 projects Emergency and development projects in Oromiya , SNNPR, Somali, Gambella , Benishangul Gumuz , Tigray, Afar, Amhara, Harari, Dire Dawa and City Administration of Addis Ababa. To meet its objectives MCMDO calls for com..."
34,Development and Project...,Project Coordinator,Education for Sustainable Development (ESD),Benishangul Gumuz,Office,"Education for Sustainable Development (ESD) is a local non-governmental developmental and humanitarian Organization established in 2007 to ensure a brighter future for children, youth &amp; women, by tackling root causes of poverty. ESD is operating its programs in 6 regions: Amhara, Oromia, Sidama, Debub Ethiopia, Central Ethiopia and Benishangul Gumuz regional states focusing on six thematic areas; Early Childhood development, Women and Girls empowerment, Quality Education development, Youth Skills Development..."
35,Engineering,Mechanical Engineer,Aforo Trading PLC,Afar,Office,"Job Title: Mechanical EngineerJob Location: Semera, Afar Regional StateJob Type:Onsite - Full TimeDate Job Posted: 26/6/2025Deadline: 5/7/2025About Aforo:AFORO TRADING PLC, with its factory located in Semera Industrial Park, was established with the mission of producing high-quality edible iodized salt and industrial salt to support national efforts in enhancing the intake of essential micronutrients and addressing the widespread challenges of micronutrient deficiencies.Key Responsibilities:Develop and implement..."
54,Education,Education Officer,International Rescue Committee - IRC,Somali,Office,"Background of IRC:The International Rescue Committee (IRC) responds to the world’s worst humanitarian crises and helps people whose lives and livelihoods are shattered by conflict and disaster to survive, recover, and gain control of their lives. The IRC works with people forced to flee from war, conflict and disaster and the host communities which support them, as well as those who remain within their homes and communities. We began work in Ethiopia since 2000 and currently implementing emergency and developmen..."
55,Natural Sciences,Education Officer,Education for Sustainable Development (ESD),Benishangul Gumuz,Office,"Education for Sustainable Development (ESD) is a local non-governmental developmental and humanitarian Organization established in 2007 to ensure a brighter future for children, youth &amp; women, by tackling root causes of poverty. ESD is operating its programs in 6 regions: Amhara, Oromia, Sidama, Debub Ethiopia, Central Ethiopia and Benishangul Gumuz regional states focusing on six thematic areas; Early Childhood development, Women and Girls empowerment, Quality Education development, Youth Skills Development..."
56,Accounting and Finance,Internal Auditor,Golden Petroleum Plc,Addis Ababa,Office,"Golden Petroleum Share Company (PLC) is a legally registered and reputable supplier of fuel and lubricants in Ethiopia. We manage our own network of fuel depots and specialize in importing petroleum products through Djibouti, supplying them to gas stations and various organizations nationwide. We are currently looking to hire a qualified professional for the position outlined below on a permanent basis.Interested candidates who meet the required qualifications are invited to apply in person by submitting their e..."
57,Sales and Marketing,Marketing (Sales) Specialist,Golden Petroleum Plc,Addis Ababa,Office,"Golden Petroleum Share Company (PLC) is a legally registered and reputable supplier of fuel and lubricants in Ethiopia. We manage our own network of fuel depots and specialize in importing petroleum products through Djibouti, supplying them to gas stations and various organizations nationwide. We are currently looking to hire a qualified professional for the position outlined below on a permanent basis.Interested candidates who meet the required qualifications are invited to apply in person by submitting their e..."
58,Accounting and Finance,Senior Accountant,Golden Petroleum Plc,Addis Ababa,Office,"Golden Petroleum Share Company (PLC) is a legally registered and reputable supplier of fuel and lubricants in Ethiopia. We manage our own network of fuel depots and specialize in importing petroleum products through Djibouti, supplying them to gas stations and various organizations nationwide. We are currently looking to hire a qualified professional for the position outlined below on a permanent basis.Interested candidates who meet the required qualifications are invited to apply in person by submitting their e..."
59,Sales and Marketing,Brand Manager - Feta,Habesha Breweries SC.,Addis Ababa,Hybrid,"1. Purpose of the JobThe Brand Manager is responsible for the development and execution of the annual brand plan for Feta brand. This includes creative campaigns, promotional programs, visibility strategies, media plans, and sponsorship activities. The role focuses on implementing brand initiatives while working closely with internal and external stakeholders."
60,Consultancy and Trainin...,Youth Counsellor,Tihut Psychosocial Counselling and Research Center,Addis Ababa,Office,"TIHUT is hiringHealth start with the mindTIHUT Psychology is a psychosocial counselling and research center, dedicated to fostering emotional well-being, self-reliance, and social cohesion. The name “TIHUT” means Humbleness, reflecting our commitment to compassion, empathy, and ethical service. In principle, Tihut counselling is a prevention center, not a treatment service provider.Tihut envisions a community where every young person grows into a self-reliant, emotionally stable, socially responsible individual,..."
61,"IT, Computer Science an...",Quality Assurance (QA) Engineer,Kifiya Financial Technologies,Addis Ababa,Office,"Job SummaryWe are seeking a highly skilled and detail-oriented QA Engineer to join our Intelligent Data-Driven Decisioning (IDD) unit within Kifiya’s Intelligent Financial Infrastructure. The QA Engineer will be responsible for validating the quality and robustness of AI-powered financial platforms that drive credit scoring, insurance onboarding, digital payments, and last-mile financial services. You will develop comprehensive testing strategies—including automation, performance, and security testing—and levera..."
62,Engineering,"Senior Coordinator, Infrastructure",Himalayan Cataract Project,Addis Ababa,Office,"Position: SeniorCoordinator,InfrastructureReportsTo:Country Director MatrixedManagers:Director, ProcurementLocation:AddisAbaba,EthiopiaPositionType:Full-timeORGANIZATIONALPROFILE:Formorethan43millionpeople, blindnessisadailyreality; another295millionsuffer frommoderatetoseverevisionimpairment.90%ofthesepeopleliveinlow-and middle-incomecommunitieswhereaccesstoeyecareislimitedandthechallenges forthosewhocan’tseearesevere.But,thereishope:80%ofthisburdenistreatable or preventable. For example, 17 million blind peopl..."
63,"Logistics, Transport an...",Senior Auto mechanic,Oromia Development Association (ODA),Addis Ababa,Office,"Maintain &amp; repair all ODA vehicles, request and make available spare parts &amp; materials needed to maintenance, make sure that all vehicles are maintained /repaired in quality and report to immediate supervisor in case where the problem is not fixedInspect vehicle engine, mechanical and electrical components and also vehicle computer and electronic systemsPrepares models and specifications for all spare parts &amp; maintenance materials to be purchasedRequest &amp; make available in storeof all spare parts..."
64,Engineering,Concrete Batching and Crusher  Plant Manager Juba,GS Construction Company,Addis Ababa,Office,"Job Title: Concrete Batching and Crusher Plant ManagerLocation: Juba, South Sudan Employment Type: Full-time Experience Level: Senior (15+ years) Education: BSc in Industrial Engineering or Mechanical EngineeringJob Summary:We are seeking a seasoned and results-driven Plant Manager to oversee the operations of our concrete batching and crusher plant. The ideal candidate will bring deep technical expertise, strong leadership, and a proven track record in managing large-scale construction material production facil..."
65,Research and Developmen...,Associate Researcher II (Pharmaceutics),Armauer Hansen Research Inistitute(AHRI),Addis Ababa,Office,"Associate Researcher II (Pharmaceutics)Employment Type: ContractSalary: 13,998.00Vacancy AnnouncementThe Armauer Hansen Research Institute (AHRI) was founded in 1970 through the initiative of the Norwegian and Swedish Save the Children organizations seconded by the Ministry of Health of Ethiopia. The Institute got its name from the Norwegian physician, Gerhard Henrik Armauer Hansen, who first described the leprosy bacillus (Mycobacterium leprae). AHRI is a biomedical research institute that works in developing t..."
66,Accounting and Finance,Finance Assistant,Save the Children,Afar,Office,"TEAM/PROGRAMME:LOCATION: SemeraGRADE: 6CONTRACTLENGTH: 12 monthsCHILDSAFEGUARDING:(select onlyone)Level 2: either thepostholder will haveaccess topersonal data aboutchildrenand/oryoung peopleas partoftheirwork; orthepostholderwill beworking ina ‘regulated’position (accountant,barrister, solicitor, legal executive);thereforea police check will berequired(at‘standard’level inthe UK or equivalent in othercountries).ROLE PURPOSE:Effect payments and collect cash and CPO on behalf of the Save the Children Internationa..."
67,Business and Administra...,Assistant HR Manager,Shints ETP Garment PLC,Addis Ababa,Office,"Job Summary:The Assistant HR Manager supports the HR Manager in overseeing daily operations, ensuring efficiency, and maintaining high standards of customer service and team performance. This role involves supervising employees, managing workflow, and assisting in strategic planning.Key Responsibilities:Assist in organizing, planning, and implementing business strategies.Supervise employees and ensure adherence to company policies.Handle workers complaint and provide solutions.Monitor and manage workers grievanc..."
68,Natural Sciences,Production department head,Dina Import & Export,Addis Ababa,Office,"Job Responsibilities:A Production Manager in animal feed processing isresponsible for overseeing the entire feed manufacturing process, from raw materials to finished products, ensuring efficiency, quality, and safety.They manage production schedules, staff, inventory, and equipment, while adhering to regulations and budgets.Scheduling feed production,Keeping inventory of feed ingredients and ordering as needed,Testing and reviewing feed/grain quality,Scheduling employee shifts and keeping track of employee time..."
69,Health Care,Level 4 Clinical Nurse,Ye Almaz Specialized Dental Clinic,Addis Ababa,Office,"Job Description: YeAlmaz Dental Clinic is looking for a dedicated and enthusiastic Clinical Nurse to join our team. This is an excellent opportunity for newly graduated nurses who are passionate about patient care and eager to gain hands-on experience in a modern dental clinic. Key Responsibilities: Assist dentists and other healthcare professionals in providing quality patient care Prepare treatment rooms, sterilize instruments, and maintain infection control standards Educate patients on oral hygiene and post-..."
70,Accounting and Finance,Senior Specialist – Housing Finance Systems,Habitat for Humanity Ethiopia,Addis Ababa,Office,"Habitat for Humanity EthiopiaAN INTERNATIONAL LEADING NGO BASED IN ETHIOPIAInternal/External Vacancy AnnouncementOrganizational OverviewDriven by the vision that everyone needs a decent place to live, Habitat for Humanity began in 1976 as a grassroots effort on a community farm in southern Georgia. Habitat for Humanity has since grown to become a leading global nonprofit working in local communities across all 50 states in the U.S. and in more than 70 countries. Families and individuals in need of a hand up part..."
71,Engineering,Electrical Engineer,CCECC Ethiopian Branch,Addis Ababa,Office,"Job Title: Electrical EngineerLocation: Addis AbabaCompany: CCECC Ethiopian BranchEmployment Type: Full-time ContractApplication Deadline: July 25, 2025Number of Positions: 2 (1 for Power System Design, 1 for IT Network System Design)Salary: NegotiableJob Summary:CCECC Ethiopian Branch would like to hire competent applicants for the following vacant positions. We are searching for experienced Electrical Engineers to oversee the company’s new and ongoing construction projects at various phases. The successful can..."
72,Accounting and Finance,Accountant,Quota Car Rental,Addis Ababa,Office,"Job Title: AccountantCompany: Quota Car RentalLocation: Addis Ababa, EthiopiaEmployment Type: Full-TimeSalary Range: ETB 15,000 – ETB 25,000/month (negotiable based on experience)Reports To:Finance Manager / General ManagerJob SummaryQuota Car Rental is seeking a **detail-oriented and experienced Accountant** to manage financial records, ensure tax compliance, and oversee daily accounting operations. The ideal candidate will have **3+ years of accounting experience**, preferably in **car rental, logistics, or se..."
73,Accounting and Finance,Senior Auditor,Dina Import & Export,Addis Ababa,Office,"Job Responsibilities:Developing and Implementing Audit Plans:This involves leading the development of a risk-based annual audit plan, ensuring it aligns with the organization's objectives and risk profile.Conducting Risk Assessments:Identifying and assessing potential risks related to the organization's operations, financial reporting, and compliance with laws and regulations.Evaluating Internal Controls:Assessing the effectiveness of the organization's internal control systems in mitigating risks and safeguardi..."
74,Security,Security Guard,Plan International Ethiopia,Tigray,Office,"The OrganisationPlan International is an independent development and humanitarian organisation that advances children’s rights and equality for girls. We believe in the power and potential of every child but know this is often suppressed by poverty, violence, exclusion and discrimination. And it is girls who are most affected.Working together with children, young people, supporters and partners, we strive for a just world, tackling the root causes of the challenges girls and vulnerable children face. We support ..."
75,"Admin, Secretarial, and...",Senior Secretary & Office Assistant (Female) - Readvert,Talent Search - Ethiojobs,Addis Ababa,Office,"Company Overview:A leading player in the Ethiopian insurance market, this organization is dedicated to providing reliable, timely, and customer-focused insurance brokerage services. Known for its professionalism and forward-looking approach, it offers a wide range of insurance solutions as well as specialized training in insurance and management topics. Headquartered in Addis Ababa, the company continues to grow by investing in talent and fostering an inclusive work environment.Job OverviewWe are seeking a profe..."
76,"Logistics, Transport an...",Driver - Marubeni Corporation,Talent Search - Ethiojobs,Addis Ababa,Office,"Company Profile:Marubeni Corporation Addis Ababa Commercial Representative Office is a branch of Marubeni Corporation; a leading Japanese trade and investment company engaged in diverse global business sectors. The Addis Ababa office plays a strategic role in supporting the Head Office by acting as a local liaison—promoting Marubeni’s products and services, facilitating communication with local clients and partners, and contributing to the expansion of its business presence in Ethiopia.Job Summary:We are seeking..."
77,Accounting and Finance,Performance Auditor,Ethiopian Human Rights Commission (EHRC),Addis Ababa,Office,"Ethiopian Human Rights Commission (EHRC) is looking for qualified candidates to fill the following positionDURATION; Indefinite Period/Open ContractSALARY RANGE ;Gross monthly salary of ETB 23,126 - ETB 26,219 plus ETB 8,640.00 Housing allowance and ETB 3,300.00 Transport allowance, depending on candidates qualification, experience and earning historyPurpose of the Job:To ensure whether the Commission’s operations are functioning in accordance with the set policies, procedures applicable laws and regulations.Mai..."
78,Business and Administra...,Business Assistant- Marubeni Corporation,Talent Search - Ethiojobs,Addis Ababa,Office,"Company Profile:Marubeni Corporation Addis Ababa Commercial Representative Office is a branch of Marubeni Corporation; a leading Japanese trade and investment company engaged in diverse global business sectors. The Addis Ababa office plays a strategic role in supporting the Head Office by acting as a local liaison—promoting Marubeni’s products and services, facilitating communication with local clients and partners, and contributing to the expansion of its business presence in Ethiopia.Job Summary:We are seeking..."
79,"Logistics, Transport an...",Assessor (Readvertised),Kerchanshe Equipment,Addis Ababa,Office,"Job Outlinekeep up to date on ever-changing customs and trade regulations to comply with customs regulations, check if additional permits required for the importation of certain parts, analyse tariffs, taxes, logistics costs, and possible customs obstacles.Duties and ResponsibilitiesMake preliminary document checking and report if there is a missing document to process customs procedure.Plan the time of declaration finalization and perform up on the plan,Find and assign the exact tariff amount for every single i..."
80,Pharmaceutical,Junior Microbiologist,Cadila Pharmaceuticals (Ethiopia) PLC,Addis Ababa,Office,"Cadila Pharmaceuticals India is an integrated Healthcare Solutions provider driven by “Passion to innovate to Life”, enjoying more than 70 years of Healthcare heritage worldwide with Regulatory Approvals from USFDA, MHRA, TGA, MCC, and WHO. The company is rapidly expanding its global matrix both in terms of manufacturing facilities and market reach.Cadila Pharmaceuticals (Ethiopia) P.L.C, a Joint Venture Company between Cadila Pharmaceuticals Limited, India and Almeta Impex P.L.C, Ethiopia, put up a Pharmaceutic..."
81,Health Care,Environmental Health & Safety Officer,Cadila Pharmaceuticals (Ethiopia) PLC,Addis Ababa,Office,"Cadila Pharmaceuticals India is an integrated Healthcare Solutions provider driven by “Passion to innovate to Life”, enjoying more than 70 years of Healthcare heritage worldwide with Regulatory Approvals from USFDA, MHRA, TGA, MCC, and WHO. The company is rapidly expanding its global matrix both in terms of manufacturing facilities and market reach.Cadila Pharmaceuticals (Ethiopia) P.L.C, a Joint Venture Company between Cadila Pharmaceuticals Limited, India and Almeta Impex P.L.C, Ethiopia, put up a Pharmaceutic..."
82,Pharmaceutical,Production Pharmacist /2/,Cadila Pharmaceuticals (Ethiopia) PLC,Addis Ababa,Office,"Cadila Pharmaceuticals India is an integrated Healthcare Solutions provider driven by “Passion to innovate to Life”, enjoying more than 70 years of Healthcare heritage worldwide with Regulatory Approvals from USFDA, MHRA, TGA, MCC, and WHO. The company is rapidly expanding its global matrix both in terms of manufacturing facilities and market reach.Cadila Pharmaceuticals (Ethiopia) P.L.C, a Joint Venture Company between Cadila Pharmaceuticals Limited, India and Almeta Impex P.L.C, Ethiopia, put up a Pharmaceutic..."
83,Natural Sciences,QC Chemist /2/,Cadila Pharmaceuticals (Ethiopia) PLC,Addis Ababa,Office,"Cadila Pharmaceuticals India is an integrated Healthcare Solutions provider driven by “Passion to innovate to Life”, enjoying more than 70 years of Healthcare heritage worldwide with Regulatory Approvals from USFDA, MHRA, TGA, MCC, and WHO. The company is rapidly expanding its global matrix both in terms of manufacturing facilities and market reach.Cadila Pharmaceuticals (Ethiopia) P.L.C, a Joint Venture Company between Cadila Pharmaceuticals Limited, India and Almeta Impex P.L.C, Ethiopia, put up a Pharmaceutic..."
84,Business and Administra...,Digital Complaint Resolution Officer,ZamZam Bank,Addis Ababa,Office,"Taking its name from ZamZam Holy Water which gave life to the barren land of Makkah, springing the hills ofSafa and Marwa; ZamZam Bank is working towards ensuring sustained economic growth.Zamzam bank is aspiring and working relentlessly towards its vision of becoming the leading shari’ah compliant and all-inclusive bank in Africa by 2030. It is contributing to the economy by providing full-fledged interest free, affordable, effective banking and financial services to diverse individuals and organizations; and b..."
85,Economics,Customer Advisory Officer,ZamZam Bank,Addis Ababa,Office,"Taking its name from ZamZam Holy Water which gave life to the barren land of Makkah, springing the hills ofSafa and Marwa; ZamZam Bank is working towards ensuring sustained economic growth.Zamzam bank is aspiring and working relentlessly towards its vision of becoming the leading shari’ah compliant and all-inclusive bank in Africa by 2030. It is contributing to the economy by providing full-fledged interest free, affordable, effective banking and financial services to diverse individuals and organizations; and b..."
86,Sales and Marketing,Sales Representative,Chora Gas and Chemical Product Factory,Addis Ababa,Remote,"We are pleased to introduce you to Chora Gas Chemical Products Factory (CGCPF), one of Ethiopia’s pioneering industrial manufacturers. Our company was originally established in 1938 E.C. in Addis Ababa under the name SEDE, founded by four foreign nationals and one Ethiopian citizen with an initial capital of just 1,500 birr. From its early years, the factory focused on producing Oxygen and Acetylene gases, Sedex Bleach, and wax products.In 1976 E.C., CGCPF became a government-owned enterprise under the National ..."
87,Development and Project...,IGA Expert,VIS - Volontariato Internazionale per lo Sviluppo,Not Specified,Hybrid,"CONTEXT DESCRIPTIONVIS has been operating in Ethiopia for more than 20 years. In 2005 it was recognized by the Ethiopian Ministry on 10th October 2019 it also obtained the registration certificate from Authority of Civil Society in accordance with Proclamation No 1113/2019.VIS and its partners have been engaged in humanitarian and development interventions in Addis Ababa, Oromia, Gmabella, South Ethiopia and Tigray.VIS Ethiopia is seeking 2 (two) candidates for the post of IGA expert (1 in Dilla town and 1 in Ch..."
88,Engineering,Junior Engineer- Construction Project Operations,Good Neighbors Ethiopia,Addis Ababa,Hybrid,"External Job Vacancy Announcement                       Junior Engineer-Construction Project OperationsGood Neighbors International (GNI) is an international humanitarian and development non-governmental organization, operating in 46 countries with a focus on community development and humanitarian program. Its country office, Good Neighbors Ethiopia (GNE) has a 27-year track record of assisting Ethiopia’s most vulnerable and marginalized populations. GNE is present in Ethiopia’s Amha..."
89,Architecture and Constr...,Architect,CCECC Ethiopian Branch,Addis Ababa,Office,"Job Title: ArchitectLocation: Addis AbabaCompany: CCECC Ethiopian BranchEmployment Type: Full-time ContractApplication Deadline: July 25, 2025Number of Positions: 2Salary: NegotiableJob Summary:CCECC Ethiopian Branch is seeking qualified and experienced Architects to join its Design Department. The ideal candidates will have proven experience in architectural design, including projects involving offices, hospitals, and banks. The role involves preparing architectural drawings, BOQs, and ensuring compliance with ..."
90,Development and Project...,MEAL Officer (Internal & External Vacancy),ZOA,Gambela,Office,"Summary of the positionHe/she is responsible for the manage and delivery of an efficient and effective MEAL activities at the Gambella Program office. He/she is also responsible directing tasks, making sure materials procured comply with estimated costs and arrive on the job sites in accordance with the project schedule.DETAILED RESPONSIBILITIES AND TASKS:He/she will be part of the project team in pursuing the monitoring and evaluation tasks together with Senior MEAL Officer, Area Manager and Country Office MEAL..."
91,"IT, Computer Science an...",Senior ERP functional Consultant,BEAEKA General Business PLC,Addis Ababa,Office,"First line of support for end users in the department; be the “go-to” resource for resolving questions and problemsIdentify and define the key business/user requirements.Data analysis and management skill in an ERP implementation project.Analyze, design and optimize business process flows and map to Odoo Enterprise ERPExpertise in designing, setup and configuration of Chart of Account.Create and maintain business process documentation, including process flows, work instructions, training documents and job aidsId..."
92,Agriculture,Senior Planning & Programming Officer,Kerchanshe Trading Company,Addis Ababa,Office,"Job Purpose:- A senior Planning &amp; Programming officer is responsible for overseeing the planning, scheduling, and coordination of farm operations to ensure optimal resource utilization and achievement of production targets. This role plays a pivotal part in aligning daily, monthly, and annual operational activities with the farm's strategic goals while ensuring compliance with best agricultural practices.Key Responsibilities:Strategic Planning:Develop and implement short-term, medium-term, and long-term plan..."
93,Health Care,Doctor of Dental Medicine,ECC St Gabriel Catholic Health Center,Addis Ababa,Office,"Saint Gabriel Catholic Health Center (SGCHC) is a not-for-profit nongovernmental organization owned bythe Ethiopian Catholic Church (ECC-SDCO,A.A.), and run in collaboration with Brothers of Our Lady of Lourdes or Brothers of Good Works in Ethiopia.The mission of SGCHC is to provideholistic, affordable and quality health care to all, in a compassionate and loving environment consistent with the Christian principles on which we are founded on and promoting access to health care to the less privileged and vulnerab..."
94,Health Care,Medical Radiologic Technologist,ECC St Gabriel Catholic Health Center,Addis Ababa,Office,"Saint Gabriel Catholic Health Center (SGCHC) is a not-for-profit nongovernmental organization owned bythe Ethiopian Catholic Church (ECC-SDCO,A.A.), and run in collaboration with Brothers of Our Lady of Lourdes or Brothers of Good Works in Ethiopia.The mission of SGCHC is to provideholistic, affordable and quality health care to all, in a compassionate and loving environment consistent with the Christian principles on which we are founded on and promoting access to health care to the less privileged and vulnerab..."
